Name,Type,Website,LinkedIn,Competitors,Message File,Status,Sent Date,Response,Order Date,Tier,Notes
Kalungi,Agency,kalungi.com,,,"outreach_messages.md #1",Not sent,,,,"B2B SaaS positioning agency"
Foundation Marketing,Agency,foundationinc.co,,,"outreach_messages.md #2",Not sent,,,,"Content marketing for tech"
Single Grain,Agency,singlegrain.com,,,"outreach_messages.md #3",Not sent,,,,"Full-service digital marketing"
Bay Leaf Digital,Agency,bayleafdigital.com,,,"outreach_messages.md #4",Not sent,,,,"B2B SaaS marketing"
Hey Digital,Agency,heydigital.co,,,"outreach_messages.md #5",Not sent,,,,"SaaS growth agency"
Mangools,SaaS,mangools.com,,"Ahrefs, SEMrush, Moz","outreach_messages.md #6",Not sent,,,,"SEO tools — founder outreach"
Socialinsider,SaaS,socialinsider.io,,"Sprout Social, Hootsuite, Buffer","outreach_messages.md #7",Not sent,,,,"Social media analytics"
KyLeads,SaaS,kyleads.com,,"OptinMonster, Sumo, Privy","outreach_messages.md #8",Not sent,,,,"Lead generation"
Octoboard,SaaS,octoboard.com,,"Databox, Geckoboard, Klipfolio","outreach_messages.md #9",Not sent,,,,"Business dashboards"
WooRank,SaaS,woorank.com,,"SEMrush, Ahrefs, Screaming Frog","outreach_messages.md #10",Not sent,,,,"SEO audit tool"
Loops,Indie SaaS,loops.so,,"Mailchimp, ConvertKit, ActiveCampaign","outreach_messages.md #11",Not sent,,,,"YC-backed email for SaaS — Chris Frantz"
Resend,Indie SaaS,resend.com,,"SendGrid, Postmark, Mailgun","outreach_messages.md #12",Not sent,,,,"YC-backed email infra — Zeh Fernandes"
Attio,Indie SaaS,attio.com,,"HubSpot, Salesforce, Pipedrive","outreach_messages.md #13",Not sent,,,,"YC-backed next-gen CRM"
Linear,Indie SaaS,linear.app,,"Asana, Monday.com, ClickUp","outreach_messages.md #14",Not sent,,,,"Engineering-first PM tool"
PostHog,Indie SaaS,posthog.com,,"Mixpanel, Amplitude, FullStory","outreach_messages.md #15",Not sent,,,,"YC-backed open-source analytics"
Katelyn Bourgoin,Consultant,katelynbourgoin.com,,,"outreach_messages.md #16",Not sent,,,,"Buyer persona & competitive research"
Andy Crestodina,Consultant,orbitmedia.com,,,"outreach_messages.md #17",Not sent,,,,"Content strategy — Orbit Media"
Peep Laja,Consultant,wynter.com,,,"outreach_messages.md #18",Not sent,,,,"B2B messaging research — Wynter"
